SL No,Customer Type,Customer Name,About Customer,Industry,Service Area,Project/Case Study Title,Short Description,Key Words,Tech Stacks,SharePoint Link
1,isv,1010 data,"the client provides an insights platform which combines market intelligence, data management, granular enterprise analytics, and collaboration capabilities to empower better business outcomes.",it services & it consulting,data engineering,data support project,client was looking for an l1 & l2 support for their insights platform and nitor provided a team of 6 members having experiences in databases & bi along with a team lead. we also provided a feedback in the ui area for their platform which was reflected in the future releases of their product,"l1 & l2 support, insights platfor, databases, bi","xml scripting, adhoc reporting",sn001_1010 data_case study_data support project_ppt.pptx
2,isv,a2o mobile,client helps manage external interactions and relationships with�crm�software for high-tech companies,software development,application modernization,crm modernization,client had an existing legacy system (both web app and mobile apps) which was�developed using older frameworks and platforms?. nitor reviewed the existing applications and came up with modernisation roadmap?. we conducted a ui/ux workshop and finzalized the ui by developing a completely new architecture ,"ui/vx, modernization, architecture, frameworks, platforms, legacy system, web app, mobile app","frontend - web & mobile (angular 7, kotlin, swift); backend - apis & integration (j2ee, springboot, aws)",sn002_a2o_case study_crm modernization.pptx
3,isv,access uk ltd.,client offers easy to use and fully�configurable mobile solution for care management�?,healthcare,mobile application development,mobilization of the healthcare product,"nitor�developed a native application in android and ios with�role�based�access control, offline working, & data security which was achieved�via communication with server over an encrypted channel?","native application, mobile application, android, ios, role-based access control, data security, encrypted channel","android, ios",sn003_access uk_case study_mobile app development.pptx
4,enterprise,airbus,"client designs, manufactures & delivers industry-leading commercial aircrafts",aviation,mobile application development,development of a tablet-based windows application,nitor created a windows tablet-based application replicating the exiting desktop functionality and integrated with backend sap based services for authentication. we also built a custom bluetooth communication stack & integrated the application with cad drawings,"windows, tablet-based application, desktop functionality, bluetooth communication, cad drawings","sap, cad, bluetooth, windows (desktop & mobile)",sn004_airbus_case study_mobile application development.pptx
5,isv,app sherpas,"the client has the largest platform for car damage repair in the netherlands, germany & belgium",automotive,deep learning,car damage detection,"developed a proof of concept for one type of damage by employing tensorflow and a convolutional neural network-based model that would recognize the damaged car parts, assess the damage & make predictions about the kind of repair needed and its estimated cost","vehicle damage, repairs cost, convolutional neural network, data cleansing, data labelling, data classification","tensorflow, python, aws data lake, flask framework",sn005_car damage detection_deeplearning_detailed.pptx
6,enterprise,ara petroleum,"client is a full-cycle exploration & production company which explores, appraises, develops & produces oil & gas resources both in oman & internationally",oil & gas,mobile application development,compliance requirements fulfillment with azure-based mobile app,built an iconic mobile app (ios & android) to record critical observations such as malfunctioning of pumps & oil leakages during incidents,"employee safety, compliance requirements, malfunctioning of pumps & oil leakages","azure, ios, android",sn006_ara petroleum_case study_mobile app development.pdf
7,enterprise,ara petroleum,"client is a full-cycle exploration & production company which explores, appraises, develops & produces oil & gas resources both in oman & internationally",oil & gas,business process automation,business process automation program for a leading o&g company headquartered in middle-east.�?,"developed a scalable & modular architecture application on azure to eliminate the manual work of raising observations, incidents, risks, and tracking-related actions","scalability, modular architecture, business process automation, responsive ui","angular 2, .net, ms sql, azure",sn007_ara_case study_business_process_automation.pptx
8,enterprise,ara petroleum,"client is a full-cycle exploration & production company which explores, appraises, develops & produces oil & gas resources both in oman & internationally",oil & gas,data engineering,remote monitoring of the transformers,the developed solution analyzed the gases dissolved in the transformer oil (dga) to indentify possible faults in an early stage,data modelling,"azure batch ai, azure iot, azure sql, azure stream analytics, python",sn008_ara_case study_remote monitoring of the transformers.pptx
9,enterprise,bajaj auto finance,the client is one of the most diversified nbfcs in the indian market��?,finance,application development,pwa application development,developed an application that would be compatible with mobile as well as web browsers,"application development, progressive web application (pwa)","angular, node.js, my sql/postgres, azure, various tools for ui/ux",sn009_bajaj auto finance_pwa application development_v1.0.pptx
10,enterprise,bajaj auto finance,the client is one of the most diversified nbfcs in the indian market��?,finance,application integration,bnpl (buy now pay later) product integration with nbfc,"client wanted to create a lending ecosystem by collaborating with multiple lending companies. hence, as a part of this, nitor integrated customer's existing ecosystem with bnpl's (buy now pay later) products to boost it's sales ","application integration, workflow designing, bnpl (buy now pay later)","angular, node.js, my sql/postgres, azure, various tools for ui/ux",sn010_bajaj auto finance_case study_bnpl integration with nbfc_v1.0.pptx
11,enterprise,bajaj auto,client is one of the india's largest exporter of automotive vehicles and their parts to 70+ countires,automobile,workflow automation,increased the efficiency of international business unit through workflow automation,"nitor suggested a web-based mobile friendly work flow automation software to client using which they can handle work intake process flow, create new projects and tasks, sending task reminders and notifications, review and approval flows, identify bottlenecks and delays.","workflow automation, project management, task management, document manegement, process flows","power automate, sharepoint online, sharepoint framework (spfx)",sn011_bajaj auto_case study_workflow automation.pdf
12,enterprise,bfil,a leading player in the financial services industry�licensed by the reserve bank of india having a staff of over 9000+ employees offering asset and liability product solutions with market dominance in the microfinance space?,banking & finance,digitization,building a digital workplace,"built a solution of intranet portal that offered end-to-end visibility of the system, provided real-time monitoring of processes, and eliminated manual dependencies by 70%.?","intranet portal, real-time monitoring, elimination of manual dependencies, employee communication","sharepoint online, spfx, sharepoint site structure, typescript, react",sn012_bfil_case study_digital workplace_v1.0.pptx
